Tanggal,Gerai,Harga Jual (Rp),Jumlah Terjual (Unit),Pendapatan Kotor (Rp),Biaya Variabel (Rp),Fixed Cost Harian (Rp),Balance (Rp)
2026-01-01,Gerai A,25000,87,2175000,739500,1683333,-247833
2026-01-02,Gerai A,25000,81,2025000,688500,1683333,-346833
2026-01-03,Gerai A,25000,110,2750000,935000,1683333,131667
2026-01-04,Gerai A,25000,119,2975000,1011500,1683333,280167
2026-01-05,Gerai A,25000,94,2350000,799000,1683333,-132333
2026-01-06,Gerai A,25000,90,2250000,765000,1683333,-198333
2026-01-07,Gerai A,25000,85,2125000,722500,1683333,-280833
2026-01-08,Gerai A,25000,87,2175000,739500,1683333,-247833
2026-01-09,Gerai A,25000,84,2100000,714000,1683333,-297333
2026-01-10,Gerai A,25000,119,2975000,1011500,1683333,280167
2026-01-11,Gerai A,25000,112,2800000,952000,1683333,164667
2026-01-12,Gerai A,25000,91,2275000,773500,1683333,-181833
2026-01-13,Gerai A,25000,85,2125000,722500,1683333,-280833
2026-01-14,Gerai A,25000,91,2275000,773500,1683333,-181833
2026-01-15,Gerai A,25000,89,2225000,756500,1683333,-214833
2026-01-16,Gerai A,25000,91,2275000,773500,1683333,-181833
2026-01-17,Gerai A,25000,110,2750000,935000,1683333,131667
2026-01-18,Gerai A,25000,118,2950000,1003000,1683333,263667
2026-01-19,Gerai A,25000,81,2025000,688500,1683333,-346833
2026-01-20,Gerai A,25000,86,2150000,731000,1683333,-264333
2026-01-21,Gerai A,25000,83,2075000,705500,1683333,-313833
2026-01-22,Gerai A,25000,88,2200000,748000,1683333,-231333
2026-01-23,Gerai A,25000,92,2300000,782000,1683333,-165333
2026-01-24,Gerai A,25000,108,2700000,918000,1683333,98667
2026-01-25,Gerai A,25000,111,2775000,943500,1683333,148167
2026-01-26,Gerai A,25000,89,2225000,756500,1683333,-214833
2026-01-27,Gerai A,25000,90,2250000,765000,1683333,-198333
2026-01-28,Gerai A,25000,84,2100000,714000,1683333,-297333
2026-01-29,Gerai A,25000,93,2325000,790500,1683333,-148833
2026-01-30,Gerai A,25000,91,2275000,773500,1683333,-181833
2026-01-31,Gerai A,25000,112,2800000,952000,1683333,164667
2026-02-01,Gerai A,25000,110,2750000,935000,1683333,131667
2026-02-02,Gerai A,25000,86,2150000,731000,1683333,-264333
2026-02-03,Gerai A,25000,91,2275000,773500,1683333,-181833
2026-02-04,Gerai A,25000,98,2450000,833000,1683333,-66333
2026-02-05,Gerai A,25000,90,2250000,765000,1683333,-198333
2026-02-06,Gerai A,25000,89,2225000,756500,1683333,-214833
2026-02-07,Gerai A,25000,118,2950000,1003000,1683333,263667
2026-02-08,Gerai A,25000,115,2875000,977500,1683333,214167
2026-02-09,Gerai A,25000,98,2450000,833000,1683333,-66333
2026-02-10,Gerai A,25000,92,2300000,782000,1683333,-165333
2026-02-11,Gerai A,25000,87,2175000,739500,1683333,-247833
2026-02-12,Gerai A,25000,87,2175000,739500,1683333,-247833
2026-02-13,Gerai A,25000,87,2175000,739500,1683333,-247833
2026-02-14,Gerai A,25000,108,2700000,918000,1683333,98667
2026-02-15,Gerai A,25000,121,3025000,1028500,1683333,313167
2026-02-16,Gerai A,25000,90,2250000,765000,1683333,-198333
2026-02-17,Gerai A,25000,96,2400000,816000,1683333,-99333
2026-02-18,Gerai A,25000,94,2350000,799000,1683333,-132333
2026-02-19,Gerai A,25000,99,2475000,841500,1683333,-49833
2026-02-20,Gerai A,25000,87,2175000,739500,1683333,-247833
2026-02-21,Gerai A,25000,112,2800000,952000,1683333,164667
2026-02-22,Gerai A,25000,108,2700000,918000,1683333,98667
2026-02-23,Gerai A,25000,99,2475000,841500,1683333,-49833
2026-02-24,Gerai A,25000,86,2150000,731000,1683333,-264333
2026-02-25,Gerai A,25000,95,2375000,807500,1683333,-115833
2026-02-26,Gerai A,25000,92,2300000,782000,1683333,-165333
2026-02-27,Gerai A,25000,87,2175000,739500,1683333,-247833
2026-02-28,Gerai A,25000,116,2900000,986000,1683333,230667
2026-03-01,Gerai A,25000,121,3025000,1028500,1683333,313167
2026-03-02,Gerai A,25000,103,2575000,875500,1683333,16167
2026-03-03,Gerai A,25000,95,2375000,807500,1683333,-115833
2026-03-04,Gerai A,25000,91,2275000,773500,1683333,-181833
2026-03-05,Gerai A,25000,100,2500000,850000,1683333,-33333
2026-03-06,Gerai A,25000,104,2600000,884000,1683333,32667
2026-03-07,Gerai A,25000,120,3000000,1020000,1683333,296667
2026-03-08,Gerai A,25000,116,2900000,986000,1683333,230667
2026-03-09,Gerai A,25000,93,2325000,790500,1683333,-148833
2026-03-10,Gerai A,25000,90,2250000,765000,1683333,-198333
2026-03-11,Gerai A,25000,98,2450000,833000,1683333,-66333
2026-03-12,Gerai A,25000,90,2250000,765000,1683333,-198333
2026-03-13,Gerai A,25000,100,2500000,850000,1683333,-33333
2026-03-14,Gerai A,25000,123,3075000,1045500,1683333,346167
2026-03-15,Gerai A,25000,120,3000000,1020000,1683333,296667
2026-03-16,Gerai A,25000,96,2400000,816000,1683333,-99333
2026-03-17,Gerai A,25000,90,2250000,765000,1683333,-198333
2026-03-18,Gerai A,25000,92,2300000,782000,1683333,-165333
2026-03-19,Gerai A,25000,93,2325000,790500,1683333,-148833
2026-03-20,Gerai A,25000,93,2325000,790500,1683333,-148833
2026-03-21,Gerai A,25000,131,3275000,1113500,1683333,478167
2026-03-22,Gerai A,25000,124,3100000,1054000,1683333,362667
2026-03-23,Gerai A,25000,104,2600000,884000,1683333,32667
2026-03-24,Gerai A,25000,97,2425000,824500,1683333,-82833
2026-03-25,Gerai A,25000,104,2600000,884000,1683333,32667
2026-03-26,Gerai A,25000,104,2600000,884000,1683333,32667
2026-03-27,Gerai A,25000,96,2400000,816000,1683333,-99333
2026-03-28,Gerai A,25000,117,2925000,994500,1683333,247167
2026-03-29,Gerai A,25000,125,3125000,1062500,1683333,379167
2026-03-30,Gerai A,25000,100,2500000,850000,1683333,-33333
2026-03-31,Gerai A,25000,100,2500000,850000,1683333,-33333
2026-01-01,Gerai B,8000,468,3744000,1946880,733333,1063787
2026-01-02,Gerai B,8000,452,3616000,1880320,733333,1002347
2026-01-03,Gerai B,8000,605,4840000,2516800,733333,1589867
2026-01-04,Gerai B,8000,564,4512000,2346240,733333,1432427
2026-01-05,Gerai B,8000,435,3480000,1809600,733333,937067
2026-01-06,Gerai B,8000,485,3880000,2017600,733333,1129067
2026-01-07,Gerai B,8000,468,3744000,1946880,733333,1063787
2026-01-08,Gerai B,8000,471,3768000,1959360,733333,1075307
2026-01-09,Gerai B,8000,461,3688000,1917760,733333,1036907
2026-01-10,Gerai B,8000,613,4904000,2550080,733333,1620587
2026-01-11,Gerai B,8000,540,4320000,2246400,733333,1340267
2026-01-12,Gerai B,8000,485,3880000,2017600,733333,1129067
2026-01-13,Gerai B,8000,449,3592000,1867840,733333,990827
2026-01-14,Gerai B,8000,473,3784000,1967680,733333,1082987
2026-01-15,Gerai B,8000,440,3520000,1830400,733333,956267
2026-01-16,Gerai B,8000,492,3936000,2046720,733333,1155947
2026-01-17,Gerai B,8000,545,4360000,2267200,733333,1359467
2026-01-18,Gerai B,8000,617,4936000,2566720,733333,1635947
2026-01-19,Gerai B,8000,436,3488000,1813760,733333,940907
2026-01-20,Gerai B,8000,459,3672000,1909440,733333,1029227
2026-01-21,Gerai B,8000,486,3888000,2021760,733333,1132907
2026-01-22,Gerai B,8000,435,3480000,1809600,733333,937067
2026-01-23,Gerai B,8000,450,3600000,1872000,733333,994667
2026-01-24,Gerai B,8000,561,4488000,2333760,733333,1420907
2026-01-25,Gerai B,8000,554,4432000,2304640,733333,1394027
2026-01-26,Gerai B,8000,469,3752000,1951040,733333,1067627
2026-01-27,Gerai B,8000,448,3584000,1863680,733333,986987
2026-01-28,Gerai B,8000,447,3576000,1859520,733333,983147
2026-01-29,Gerai B,8000,446,3568000,1855360,733333,979307
2026-01-30,Gerai B,8000,462,3696000,1921920,733333,1040747
2026-01-31,Gerai B,8000,638,5104000,2654080,733333,1716587
2026-02-01,Gerai B,8000,590,4720000,2454400,733333,1532267
2026-02-02,Gerai B,8000,520,4160000,2163200,733333,1263467
2026-02-03,Gerai B,8000,496,3968000,2063360,733333,1171307
2026-02-04,Gerai B,8000,476,3808000,1980160,733333,1094507
2026-02-05,Gerai B,8000,455,3640000,1892800,733333,1013867
2026-02-06,Gerai B,8000,507,4056000,2109120,733333,1213547
2026-02-07,Gerai B,8000,654,5232000,2720640,733333,1778027
2026-02-08,Gerai B,8000,660,5280000,2745600,733333,1801067
2026-02-09,Gerai B,8000,490,3920000,2038400,733333,1148267
2026-02-10,Gerai B,8000,479,3832000,1992640,733333,1106027
2026-02-11,Gerai B,8000,494,3952000,2055040,733333,1163627
2026-02-12,Gerai B,8000,482,3856000,2005120,733333,1117547
2026-02-13,Gerai B,8000,522,4176000,2171520,733333,1271147
2026-02-14,Gerai B,8000,577,4616000,2400320,733333,1482347
2026-02-15,Gerai B,8000,609,4872000,2533440,733333,1605227
2026-02-16,Gerai B,8000,498,3984000,2071680,733333,1178987
2026-02-17,Gerai B,8000,455,3640000,1892800,733333,1013867
2026-02-18,Gerai B,8000,522,4176000,2171520,733333,1271147
2026-02-19,Gerai B,8000,502,4016000,2088320,733333,1194347
2026-02-20,Gerai B,8000,510,4080000,2121600,733333,1225067
2026-02-21,Gerai B,8000,664,5312000,2762240,733333,1816427
2026-02-22,Gerai B,8000,621,4968000,2583360,733333,1651307
2026-02-23,Gerai B,8000,471,3768000,1959360,733333,1075307
2026-02-24,Gerai B,8000,515,4120000,2142400,733333,1244267
2026-02-25,Gerai B,8000,489,3912000,2034240,733333,1144427
2026-02-26,Gerai B,8000,495,3960000,2059200,733333,1167467
2026-02-27,Gerai B,8000,471,3768000,1959360,733333,1075307
2026-02-28,Gerai B,8000,597,4776000,2483520,733333,1559147
2026-03-01,Gerai B,8000,607,4856000,2525120,733333,1597547
2026-03-02,Gerai B,8000,498,3984000,2071680,733333,1178987
2026-03-03,Gerai B,8000,541,4328000,2250560,733333,1344107
2026-03-04,Gerai B,8000,540,4320000,2246400,733333,1340267
2026-03-05,Gerai B,8000,491,3928000,2042560,733333,1152107
2026-03-06,Gerai B,8000,498,3984000,2071680,733333,1178987
